name,location,address,tel,type,typecode,business_area,cityname,adname,pname,shopinfo,longitude,latitude
聚宝源(西单店),"116.372508,39.914293",西单北大街109号西单婚庆大楼7楼001,010-66170018;18110125732,餐饮服务;餐饮相关场所;餐饮相关,050000,西单,北京市,西城区,北京市,0,116.372508,39.914293
海底捞火锅(西单店),"116.372850,39.913828",西单北大街109珠宝婚庆大楼7层(老佛爷百货正对面),010-86467463,餐饮服务;中餐厅;火锅店,050117,西单,北京市,西城区,北京市,1,116.37285,39.913828
柳州肥姨妈大骨螺蛳粉(西单店),"116.373845,39.916742",北京城区西单北大街48-50号1层底商,18610668812,餐饮服务;餐饮相关场所;餐饮相关,050000,西单,北京市,西城区,北京市,0,116.373845,39.916742
方砖厂69号炸酱面(金融街店),"116.361530,39.915933",金融街购物中心B1层B140-2号,13241123004,餐饮服务;中餐厅;中餐厅,050100,金融街,北京市,西城区,北京市,0,116.36153,39.915933
礼季·台州菜(金融街店),"116.362726,39.912741",太平桥大街111号湘西大厦F1层,010-66020082;13120133999,餐饮服务;中餐厅;中餐厅,050100,金融街,北京市,西城区,北京市,0,116.362726,39.912741
四季民福烤鸭店(西单华威约饭街店),"116.374576,39.911511",西单北大街130号华威大厦8层39号,010-66132633;18611190844,餐饮服务;中餐厅;特色/地方风味餐厅,050118,西单,北京市,西城区,北京市,0,116.374576,39.911511
胖哥俩肉蟹煲(西单大悦城店),"116.373151,39.911174",西单北大街甲131号大悦城8楼,010-66010484,餐饮服务;中餐厅;海鲜酒楼,050119,西单,北京市,西城区,北京市,1,116.373151,39.911174
雁舍·湖南菜(西单大悦城店),"116.373126,39.911268",北京城区西单北大街131号西单大悦城6层-18B,010-66111779,餐饮服务;中餐厅;中餐厅,050100,西单,北京市,西城区,北京市,0,116.373126,39.911268
米村拌饭(西单大悦城店),"116.373150,39.911266",西单北大街131号西单大悦城北门九层9F-01,13029098489,餐饮服务;外国餐厅;外国餐厅,050200,西单,北京市,西城区,北京市,0,116.37315,39.911266
庆丰包子铺(西单店),"116.373457,39.919089",西四南大街107号(灵境胡同地铁站B东北口步行330米),010-66179743,餐饮服务;中餐厅;中餐厅,050100,西单,北京市,西城区,北京市,0,116.373457,39.919089
潮堂(金融街购物中心店),"116.360856,39.916091",金城坊街2号金融街购物中心2期负一层B102-1室,13522767503,餐饮服务;中餐厅;广东菜(粤菜),050103,金融街,北京市,西城区,北京市,0,116.360856,39.916091
