name,location,address,tel,type,typecode,business_area,cityname,adname,pname,shopinfo,longitude,latitude
滨寿司(北京君太百货店),"116.373227,39.909528",西单北大街133号君太百货B1层,13240155349,餐饮服务;餐饮相关场所;餐饮相关,050000,西单,北京市,西城区,北京市,0,116.373227,39.909528
胜博殿日式炸猪排(西单君太百货店),"116.373383,39.909666",北京城区西单北大街133号君太百货B1层,010-66035866,餐饮服务;外国餐厅;日本料理,050202,西单,北京市,西城区,北京市,0,116.373383,39.909666
麦当劳(西单明珠商场店),"116.375719,39.910768",西单横二条59号高登大厦B1层,010-66024595;4000517117;4008517517,餐饮服务;快餐厅;麦当劳,050302,西单,北京市,西城区,北京市,0,116.375719,39.910768
四季民福烤鸭店(西单汉光店),"116.374957,39.909437",西单北大街176号汉光百货9层923号,010-66162526;17501167088,餐饮服务;中餐厅;北京菜|餐饮服务;中餐厅;特色/地方风味餐厅,050111|050118,西单,北京市,西城区,北京市,0,116.374957,39.909437
天下晓富(兴隆街店),"116.376175,39.910255",西单横二条59号高登大厦7称,18810710395,餐饮服务;中餐厅;中餐厅,050100,西单,北京市,西城区,北京市,0,116.376175,39.910255
和芳苑(阜成门店),"116.366375,39.923758",北京城区阜成门内大街162号,13161543511,餐饮服务;中餐厅;中餐厅|商务住宅;商务住宅相关;商务住宅相关,050100|120000,金融街,北京市,西城区,北京市,0,116.366375,39.923758
荣记火锅(鲜山羊·海鲜料理),"116.358027,39.918997",北京城区金融大街11号B1层,13070109111,餐饮服务;中餐厅;火锅店,050117,金融街,北京市,西城区,北京市,0,116.358027,39.918997
方砖厂69号炸酱面(西四店),"116.373187,39.925603",北京城区西四北大街203-205号,15611194754,餐饮服务;中餐厅;中餐厅,050100,官园,北京市,西城区,北京市,0,116.373187,39.925603
东来顺饭庄(西单店),"116.376486,39.905697",西绒线胡同51号北门(西单地铁站E西南口步行270米),010-66081668,餐饮服务;中餐厅;火锅店,050117,西单,北京市,西城区,北京市,0,116.376486,39.905697
四季民福烤鸭店(金融街店),"116.357606,39.919022",金融大街11号北京国际金融中心B1层,010-85003287;17801780912,生活服务;生活服务场所;生活服务场所,070000,金融街,北京市,西城区,北京市,0,116.357606,39.919022
清真·鸦儿李记·涮肉(月坛店),"116.349252,39.917863",北京城区月坛西街1号,010-61257372,餐饮服务;中餐厅;清真菜馆,050121,三里河,北京市,西城区,北京市,0,116.349252,39.917863
牛街清真满恒記(平安里西大街店),"116.367697,39.932103",赵登禹路106号平安里西大街与赵登禹路交叉口西南角,010-66517188,餐饮服务;中餐厅;火锅店,050117,西直门,北京市,西城区,北京市,0,116.367697,39.932103
静一(白塔寺店),"116.358890,39.924181",阜内北街10.12号(阜成门地铁站B东北口步行240米),15646583728,餐饮服务;中餐厅;中餐厅,050100,官园,北京市,西城区,北京市,1,116.35889,39.924181
护国寺小吃(阜成门桥店),"116.357424,39.923901",阜成门内大街349号(阜成门地铁站B东北口步行90米),010-66162446;13718561051,餐饮服务;中餐厅;清真菜馆,050121,金融街,北京市,西城区,北京市,0,116.357424,39.923901
比格比萨自助(阜成门店),"116.352574,39.923927",北京城区东润时代大厦,010-68359570,餐饮服务;快餐厅;快餐厅,050300,官园,北京市,西城区,北京市,0,116.352574,39.923927
天和晟烤鸭店(府右街店),"116.379916,39.925880",西什库大街31号院9号楼1层C08号,010-68699988,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.379916,39.92588
诸己(阜成门店),"116.354343,39.923861",阜成门外大街1号阜城门地铁口A口向西50米(中海商务中心一层内),18511146621,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,061100,百万庄,北京市,西城区,北京市,1,116.354343,39.923861
四季民福烤鸭店(三里河店),"116.344559,39.912377",三里河东路5号中商大厦18层,010-68527135;15810325881,餐饮服务;中餐厅;特色/地方风味餐厅,050118,三里河,北京市,西城区,北京市,0,116.344559,39.912377
念禾居(东弓匠胡同店),"116.359359,39.928233",东弓匠胡同16号(近梅兰芳大剧院),010-66517077;13264467518,餐饮服务;冷饮店;冷饮店|餐饮服务;中餐厅;中餐厅,050700|050100,官园,北京市,西城区,北京市,0,116.359359,39.928233
西部马华牛肉面·烧烤(复兴门店),"116.351270,39.907826",复兴门外大街5号楼丁门一层,010-68053715,餐饮服务;中餐厅;清真菜馆,050121,复兴门,北京市,西城区,北京市,0,116.35127,39.907826
硬舌酒肉(平安里店),"116.373321,39.930143",北京城区西四北大街60号,13269831892,餐饮服务;中餐厅;中餐厅,050100,官园,北京市,西城区,北京市,0,116.373321,39.930143
佟爷老北京炙子烤肉(南礼士路店),"116.349360,39.908104",北京城区南礼士路头条一号地藏庵4号,13263268375,餐饮服务;中餐厅;中餐厅,050100,月坛,北京市,西城区,北京市,0,116.34936,39.908104
江海肴·四季江南菜(三里河店),"116.344595,39.916581",三里河北一巷与北横街交叉口东南140米,010-67573777,餐饮服务;茶艺馆;茶艺馆|餐饮服务;中餐厅;中餐厅,050600|050100,三里河,北京市,西城区,北京市,0,116.344595,39.916581
程府宴(南长街四合院店),"116.391732,39.912512",南长街38号院,15011120038,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.391732,39.912512
肯德基(宣武门店),"116.375000,39.898635","宣武门餐厅门口向南10米,马路北侧",17810607465,餐饮服务;快餐厅;肯德基,050301,宣武门,北京市,西城区,北京市,1,116.375,39.898635
全聚德(北京和平门店),"116.385072,39.899292",前门西大街14号楼(和平门地铁站C2东南口步行80米),010-83193101;010-83193102,餐饮服务;中餐厅;老字号|餐饮服务;中餐厅;北京菜,050116|050111,,北京市,西城区,北京市,0,116.385072,39.899292
豫江南信阳宴,"116.344768,39.916034",三里河一区5号院,010-66066778,餐饮服务;餐饮相关场所;餐饮相关,050000,月坛,北京市,西城区,北京市,0,116.344768,39.916034
四川饭店(和平门店),"116.384697,39.899076",前门西大街14号西门,010-63188088,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.384697,39.899076
麦当劳(长安商场店),"116.344404,39.908001",北京市长安商场餐厅(复兴门外大街15号),010-68091600,餐饮服务;快餐厅;麦当劳,050302,月坛,北京市,西城区,北京市,0,116.344404,39.908001
柴火荆楚家宴·红蕃茄(月坛南街店),"116.342694,39.912207",三里河南一巷11号院,010-68573698,餐饮服务;中餐厅;湖北菜(鄂菜),050112,三里河,北京市,西城区,北京市,0,116.342694,39.912207
观澜小釜(融耀新华店),"116.349885,39.929576",北礼士路135号融耀新华一层102,18201237978,餐饮服务;中餐厅;中餐厅,050100,官园,北京市,西城区,北京市,0,116.349885,39.929576
肯德基(复兴门店),"116.348085,39.906884",复兴门外大街8号楼裙楼2层,18501251839,餐饮服务;快餐厅;肯德基,050301,月坛,北京市,西城区,北京市,1,116.348085,39.906884
萨莉亚意式餐厅(护国新天地店),"116.375452,39.935217",护国寺街85号护国新天地F2层,010-83287798,餐饮服务;外国餐厅;意式菜品餐厅,050205,积水潭,北京市,西城区,北京市,0,116.375452,39.935217
门框胡同百年卤煮(护国寺店),"116.372673,39.935429",新街口南大街137号丙(平安里地铁站A西北口步行120米),18311192183,餐饮服务;餐饮相关场所;餐饮相关,050000,积水潭,北京市,西城区,北京市,0,116.372673,39.935429
紫光园(西直门店),"116.364386,39.939195",西直门内大街冠英园西区6号楼1门(南草厂街交叉口向南100米路东),010-66562588,餐饮服务;中餐厅;清真菜馆,050121,西直门,北京市,西城区,北京市,0,116.364386,39.939195
京满·四合院铜锅涮肉,"116.389017,39.898201",北京城区延寿街1号(和平门地铁站C2东南口步行470米),13121867967;15010898675,餐饮服务;中餐厅;火锅店,050117,,北京市,西城区,北京市,0,116.389017,39.898201
渝特别·鱼头火锅(菜市口总店),"116.377559,39.892883",椿树园小区16号底商,010-63102999,餐饮服务;中餐厅;火锅店,050117,宣武门,北京市,西城区,北京市,1,116.377559,39.892883
佟爷老北京炙子烤肉(西直门店),"116.361058,39.938275",北京城区前半壁店街29号,18611384939,餐饮服务;中餐厅;中餐厅,050100,西直门,北京市,西城区,北京市,0,116.361058,39.938275
麦当劳(国帅宾馆店),"116.394180,39.899787",前门西大街正阳市场2号楼一层西侧部分商铺,010-83150517,餐饮服务;快餐厅;麦当劳,050302,,北京市,西城区,北京市,0,116.39418,39.899787
京城第一羯(前门总店),"116.393352,39.899202",前门西河沿街67号速8酒店旁,010-66086588,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.393352,39.899202
吉野家(新街口店),"116.372869,39.939804",北京城区新街口南大街24号1层2层3层,010-66122140,餐饮服务;快餐厅;吉野家,050309,积水潭,北京市,西城区,北京市,0,116.372869,39.939804
四季民福烤鸭店(故宫店),"116.402873,39.914525",南池子大街11号故宫东门旁(距趣拿步行780m),010-65267369;13521873487,餐饮服务;中餐厅;北京菜,050111,王府井,北京市,东城区,北京市,1,116.402873,39.914525
聚宝源(牛街创始店),"116.363329,39.886721",北京城区牛街5-2号(牛街地铁站D2口步行390米),010-83545602,餐饮服务;中餐厅;清真菜馆,050121,广内大街,北京市,西城区,北京市,0,116.363329,39.886721
紫光园(前门大栅栏店),"116.395569,39.895805",大栅栏商业街31号,010-63156929;15515145972,餐饮服务;餐饮相关场所;餐饮相关,050000,珠市口,北京市,西城区,北京市,0,116.395569,39.895805
悠航SLOWBOAT(什刹海店),"116.391055,39.935432",地安门大街51号荷花市场内商业街2幢,13051405508,体育休闲服务;休闲场所;休闲场所|餐饮服务;餐饮相关场所;餐饮相关,080500|050000,,北京市,西城区,北京市,0,116.391055,39.935432
南门涮肉(后海店),"116.393887,39.938050",南官房胡同1号,010-83227033;18519319910,餐饮服务;中餐厅;火锅店,050117,,北京市,西城区,北京市,0,116.393887,39.93805
陈记卤煮小肠(廊房二条店),"116.395313,39.896939",廊房二条82-84号(前门地铁站I西南口步行420米),18210023920,餐饮服务;中餐厅;特色/地方风味餐厅,050118,,北京市,西城区,北京市,0,116.395313,39.896939
四季民福烤鸭店(前门大栅栏店),"116.396582,39.895770",前门大栅栏街18号(1796商场二层同仁堂东侧),010-63158211;13021293012,餐饮服务;中餐厅;特色/地方风味餐厅,050118,珠市口,北京市,西城区,北京市,1,116.396582,39.89577
全聚德烤鸭店(前门店),"116.398244,39.896630",前门大街30号,010-67011379;010-67013570,餐饮服务;中餐厅;北京菜,050111,,北京市,东城区,北京市,0,116.398244,39.89663
刘记炙子烤肉(虎坊桥店),"116.385245,39.888155",北京城区腊竹胡同85号,010-63044325,餐饮服务;中餐厅;中餐厅,050100,天桥,北京市,西城区,北京市,0,116.385245,39.888155
方砖厂69号炸酱面( 前门大街店 ),"116.397916,39.896432",前门东路前门大街45号(距离地铁2/8号线前门站G口步行510m),13269625580,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.397916,39.896432
提督·TIDU(北京坊店),"116.394922,39.897546",坊廊坊头条21号院W9楼4层01号,010-83155166;010-83155188,餐饮服务;中餐厅;北京菜,050111,,北京市,西城区,北京市,0,116.394922,39.897546
百年前门铜锅涮肉(前门总店),"116.392740,39.895089",北京城区距地铁2号线前门地铁站C西南口步行628m大栅栏西街43号,010-66168266;13651297379;18514523345,餐饮服务;中餐厅;火锅店,050117,,北京市,西城区,北京市,0,116.39274,39.895089
四季民福烤鸭店(前门店),"116.397659,39.896269",大栅栏街1号(和珠宝市街交汇处),010-63013868;18515883132,餐饮服务;中餐厅;特色/地方风味餐厅,050118,,北京市,西城区,北京市,1,116.397659,39.896269
紫光园(广安门店),"116.358509,39.888893",广安门内大街306号水利综合楼,010-65660922,餐饮服务;中餐厅;中餐厅,050100,白纸坊,北京市,西城区,北京市,0,116.358509,39.888893
清真·鸦儿李记·涮肉(牛街店),"116.363386,39.884930",牛街11号1层101-103、2层201-203、205-216,010-60865685,餐饮服务;中餐厅;火锅店,050117,白纸坊,北京市,西城区,北京市,0,116.363386,39.88493
八爷涮肉(王府井·故宫店),"116.406340,39.915126",南河沿大街1号翠明庄宾馆主楼B1层,010-58580955;010-58580958,餐饮服务;中餐厅;火锅店,050117,东单,北京市,东城区,北京市,0,116.40634,39.915126
第六季原生态食材火锅自助餐厅(王府世纪店),"116.407270,39.915956",王府井东安大街55号一层105.106号,010-65241488;010-65241499,餐饮服务;中餐厅;中餐厅,050100,灯市口,北京市,东城区,北京市,0,116.40727,39.915956
方砖厂69号炸酱面(中海大吉巷店),"116.377273,39.888153",果子巷1号,13161271308,餐饮服务;中餐厅;中餐厅,050100,牛街,北京市,西城区,北京市,0,116.377273,39.888153
四季民福烤鸭店(王府井东安门店),"116.408131,39.915563",东安门大街53号万程华府酒店1楼,010-65238571;13269367120,餐饮服务;中餐厅;特色/地方风味餐厅,050118,灯市口,北京市,东城区,北京市,0,116.408131,39.915563
紫光园清真北京小吃(牛街北口店),"116.363827,39.888225",广安门内大街小区西门南80米(牛街地铁站D2口步行250米),18864893771,餐饮服务;中餐厅;清真菜馆,050121,广内大街,北京市,西城区,北京市,0,116.363827,39.888225
清真·鸦儿李记·涮肉(什刹海店),"116.393695,39.939095",前海东延2号(什刹海地铁站A2西北口步行330米),16600070802,餐饮服务;中餐厅;清真菜馆,050121,,北京市,西城区,北京市,0,116.393695,39.939095
海底捞火锅(西直门凯德MALL店),"116.353026,39.940894",北京城区西直门外大街1号西环广场6层凯德MALL西直门6层06号/室商铺,010-58302868;010-58302898,餐饮服务;中餐厅;火锅店,050117,展览路,北京市,西城区,北京市,0,116.353026,39.940894
鼎仙阁老鸭汤(新街口店),"116.372770,39.941716",北京城区新街口北大街132号,010-83227510,餐饮服务;中餐厅;中餐厅,050100,积水潭,北京市,西城区,北京市,0,116.37277,39.941716
方砖厂69号炸酱面(王府世纪店),"116.407565,39.915887",东安门大街55号王府世纪一层108室,13020088912,餐饮服务;中餐厅;中餐厅,050100,灯市口,北京市,东城区,北京市,0,116.407565,39.915887
四季民福烤鸭店(王府井灯市口店),"116.408867,39.918414",北京城区灯市口西街32号东华饭店1楼,010-65135141;13269367120,餐饮服务;中餐厅;北京菜,050111,灯市口,北京市,东城区,北京市,0,116.408867,39.918414
紫光园(北京总店),"116.364055,39.883533",牛街春风社区牛街8号楼,010-63525711,餐饮服务;中餐厅;北京菜,050111,牛街,北京市,西城区,北京市,0,116.364055,39.883533
淮扬府(什刹海店),"116.395733,39.937826",北京城区地安门外大街31号1号楼地百商场西门一二层,010-64081222;010-64081333,餐饮服务;中餐厅;中餐厅,050100,,北京市,西城区,北京市,0,116.395733,39.937826
牛街·马辈儿涮肉(牛街总店),"116.366482,39.883520",北京城区南横西街与教子胡同交叉口西北角(一六一中学斜对面),010-63035518,餐饮服务;中餐厅;清真菜馆,050121,白纸坊,北京市,西城区,北京市,0,116.366482,39.88352
百年前门铜锅涮肉(后海8店),"116.396319,39.935565",北京城区地安门外大街134号,010-88857737;13141078815;13269051885,餐饮服务;中餐厅;火锅店,050117,安定门,北京市,西城区,北京市,0,116.396319,39.935565
孔小乙(后海店),"116.381305,39.942864",东明胡同甲2号,010-66184915;010-66184917;13501350731,餐饮服务;中餐厅;浙江菜,050106,积水潭,北京市,西城区,北京市,0,116.381305,39.942864
紫光园(王府井店),"116.410798,39.919095",王府井大街99号世纪大厦F1层,010-53658058,餐饮服务;中餐厅;中餐厅,050100,灯市口,北京市,东城区,北京市,0,116.410798,39.919095
麦当劳(展览路餐厅),"116.345926,39.938200",西直门外大街112-1号华堂商场一层,010-68330317;4000517117,餐饮服务;快餐厅;麦当劳,050302,展览路,北京市,西城区,北京市,0,116.345926,39.9382
海底捞火锅(王府井银泰in88店),"116.411779,39.916732",王府井大街银泰in88三层北侧311号,010-59785689;010-80949969,餐饮服务;中餐厅;火锅店,050117,东四,北京市,东城区,北京市,1,116.411779,39.916732
清真·鸦儿李记·涮肉(鼓楼店),"116.393846,39.941244",北京城区旧鼓楼大街181号(什刹海地铁站A2西北口步行460米),010-64087300,餐饮服务;中餐厅;火锅店,050117,德胜门,北京市,西城区,北京市,0,116.393846,39.941244
富华斋·饽饽铺(鼓楼店),"116.395877,39.938953",北京城区地安门外大街29号(旁门),010-85230106;18311461639,餐饮服务;中餐厅;中餐厅,050100,沙滩,北京市,西城区,北京市,0,116.395877,39.938953
达美乐比萨(西直门阳光店),"116.345885,39.937878",西直门外大街112号楼1楼,4001597597,餐饮服务;快餐厅;快餐厅,050300,展览路,北京市,西城区,北京市,0,116.345885,39.937878
峨嵋酒家(地安门店),"116.396042,39.933781",地外大街155号(什刹海地铁站C东南口步行410米),010-64043097,餐饮服务;中餐厅;中餐厅,050100,沙滩,北京市,西城区,北京市,0,116.396042,39.933781
大鸭梨烤鸭店(甘家口店),"116.332860,39.926657",甘家口北街8号,010-88377808;010-88377898,餐饮服务;中餐厅;特色/地方风味餐厅,050118,三里河,北京市,海淀区,北京市,0,116.33286,39.926657
怡秀坊餐厅·粤菜·烤鸭(西直门店),"116.340791,39.937059",金融科技中心B座2层,13269779331,餐饮服务;中餐厅;中餐厅,050100,展览路,北京市,西城区,北京市,0,116.340791,39.937059
宫门口馒头铺(创始人总店),"116.394542,39.888086",北京城区香厂路1号第一房间,13601295152,餐饮服务;中餐厅;特色/地方风味餐厅,050118,珠市口,北京市,西城区,北京市,0,116.394542,39.888086
姚记炒肝店(鼓楼店),"116.396712,39.940898",鼓楼东大街311号(鼓楼湾东南角),010-84010570,餐饮服务;中餐厅;北京菜,050111,安定门,北京市,东城区,北京市,0,116.396712,39.940898
gaga(大吉巷店),"116.375725,39.888725","骡马市大街20号院中海大吉巷FS03(菜市口地铁C口50米,鹅岛对面)",010-68960709,餐饮服务;餐饮相关场所;餐饮相关,050000,宣武门,北京市,西城区,北京市,0,116.375725,39.888725
全聚德(王府井店),"116.412032,39.912163",帅府园胡同9号,010-65228384;010-65253310,餐饮服务;中餐厅;老字号|餐饮服务;中餐厅;北京菜,050116|050111,东单,北京市,东城区,北京市,0,116.412032,39.912163
DAddario达达里奥意大利餐厅(后海店),"116.388671,39.939364",北京城区大凤翔胡同2号,010-82229901,餐饮服务;外国餐厅;外国餐厅,050200,,北京市,西城区,北京市,0,116.388671,39.939364
德缘烤鸭店(大栅栏店),"116.392168,39.894881",大栅栏西街57号,010-63085371,餐饮服务;中餐厅;特色/地方风味餐厅,050118,,北京市,西城区,北京市,0,116.392168,39.894881
